Date,maxTa,minTa,avgTa,sumRn,maxWs,avgRhm,ddMefs,ddMefsHrmt
2020-01-01,0.3,-6.5,-2.2,0.1,2.6,64.4,0,
2020-01-02,3.8,-0.7,1,,4,65.4,,
2020-01-03,4.6,-3.4,-0.1,,3.5,56.9,,
2020-01-04,6.1,-2.8,1.2,,4.5,50.8,,
2020-01-05,6.6,-3.2,1.3,,2.9,45.6,,
2020-01-06,4.6,0.6,3.1,1.8,5.4,65.4,,
2020-01-07,7.7,4.2,6.3,46.3,6.3,95,,
2020-01-08,8.9,-0.4,2.4,11.6,6.3,86.1,,
2020-01-09,2,-3.1,-1.2,,4.3,65.3,,
2020-01-10,4.2,-4.3,-0.6,,3.7,62.9,,
2020-01-11,3.9,-2.6,-0.1,,4.8,60.9,,
2020-01-12,2.8,-3.5,-1,,4.1,61.5,,
2020-01-13,0.2,-4.7,-2.9,,4.9,51,,
2020-01-14,2.6,-5.7,-2.3,,3.3,45.3,,
2020-01-15,2.2,-6.4,-2.7,,4.5,44.8,,
2020-01-16,3.2,-5.5,-1.7,,4.4,43,,
2020-01-17,4.9,-4.8,-0.6,,3.8,43.9,,
2020-01-18,5.9,-4.1,0.3,,4.2,48.1,,
2020-01-19,5.3,-0.4,1.9,0.6,6.1,62.8,0.3,955
2020-01-20,5.5,-3.3,0.7,,5.7,46.8,,
2020-01-21,5.5,-5.6,-0.4,,3.5,36.9,,
2020-01-22,7.8,-0.1,3,,3.2,36,,
2020-01-23,9.9,0,4.6,,4.7,49.3,,
2020-01-24,7.4,-1.3,2.8,,3.7,63,,
2020-01-25,8.8,0.6,4.3,,3.9,63.1,,
2020-01-26,11.9,-0.2,5.5,,6.1,56.3,,
2020-01-27,7.5,4.8,5.9,0.1,7,48.1,,
2020-01-28,9.9,4.3,6.8,0,5.4,49.4,,
2020-01-29,9.6,3.2,6,,3.6,46.4,,
2020-01-30,10.4,1.4,5.2,,3,47,,
2020-01-31,8.9,1.4,3.9,0,4.4,59.6,,
2020-02-01,7.6,-1.2,2.6,,4.7,66.6,,
2020-02-02,5.3,-2.1,1.5,,4.7,52.3,,
2020-02-03,3,-2.9,-0.4,0,5.7,43.6,,
2020-02-04,3.9,-6,-1.6,1.7,6.2,50.3,0.8,1945
2020-02-05,-4.9,-11,-8.3,,5.5,37.3,,
2020-02-06,0.4,-11.8,-6.4,,4,36.4,,
2020-02-07,2.2,-7.2,-1.7,0,3.5,45.1,,
2020-02-08,3.7,-2.3,-0.1,0,5.3,48.1,,
2020-02-09,4.1,-5.6,-0.5,0,4.4,51.1,,
2020-02-10,9.6,-0.7,4,0,4.2,49.4,,
2020-02-11,14.6,-0.5,6.8,,3.6,37,,
2020-02-12,8.2,6.5,7.4,6.7,5,73.4,,
2020-02-13,8.7,4.9,6.5,,3.2,84.8,,
2020-02-14,14.7,3.2,8.1,,3,70.3,,
2020-02-15,15.6,6.2,9.8,2,5,63,,
2020-02-16,7.7,-4.3,-1.4,13.4,6.6,81.1,3.9,1300
2020-02-17,-3.9,-7.1,-5.9,1,5.6,64.3,3.8,600
2020-02-18,1.3,-8.3,-4.1,,4.1,44,,
2020-02-19,6.4,-4.4,1,,3.2,56.8,,
2020-02-20,10.8,-0.6,4.6,,3.3,62.6,,
2020-02-21,10.9,2.1,6.7,4.2,5.3,66.3,,
2020-02-22,7.9,0,4,3.1,8.2,62,,
2020-02-23,8,-2.5,2.5,,4.2,48.6,,
2020-02-24,12.2,0.8,7,,3.4,51.8,,
2020-02-25,9.4,4.7,6.7,16.6,6.8,73.5,,
2020-02-26,10.4,2.8,6.4,0,4,59.6,,
2020-02-27,12.5,1.3,6.1,,4.4,54,,
2020-02-28,5.9,3.6,4.5,3.9,4.2,79.4,,
2020-02-29,13,4.5,7.7,0.5,4.2,68.6,,
2020-03-01,10.1,3.2,5.8,0.2,4.7,71.8,,
2020-03-02,7.6,0,3.4,0,4.9,55.3,,
2020-03-03,10.5,0.3,4.8,,4.7,57,,
2020-03-04,4.6,-1.3,2.2,0,6.8,53.4,,
2020-03-05,6.3,-2.8,1.4,,4.1,47.5,,
2020-03-06,10.1,-2.5,3.7,,3.6,46.8,,
2020-03-07,14.2,1.3,7,,4.1,39.5,,
2020-03-08,16.9,2.3,9.3,,4.6,43.8,,
2020-03-09,17.6,4.8,11.1,,4.5,37.6,,
2020-03-10,10.8,3.2,6.4,11.8,5.3,78.4,,
2020-03-11,8.3,0,3.8,,5.5,41.8,,
2020-03-12,13.3,0.2,6.8,,5.4,49.8,,
2020-03-13,8.7,-0.1,4.9,0.5,5.4,41,,
2020-03-14,8.6,-2.7,3.6,,6.8,48.1,,
2020-03-15,8.5,0.2,4,,7.8,48.3,,
2020-03-16,9.1,-2.1,3.6,,5.2,42.4,,
2020-03-17,12.3,3.1,6.6,,5.2,65.8,,
2020-03-18,17,2.7,10,,4.4,45.8,,
2020-03-19,12.1,5.8,9.1,0,8.2,49,,
2020-03-20,14,3.1,8.8,,6.6,39.6,,
2020-03-21,19.5,7.9,12.8,,5.1,56.5,,
2020-03-22,16.5,6.1,11,,5.6,37.5,,
2020-03-23,17,5.4,10.6,,4.8,37.9,,
2020-03-24,17.9,5.3,11.4,,4,35,,
2020-03-25,19.2,6.1,12.5,,5.3,33.6,,
2020-03-26,20.6,8.1,14.8,1.8,5.3,53.8,,
2020-03-27,15.8,6.7,11.9,2,5.8,56.4,,
2020-03-28,12.8,4.5,7.7,,5.5,17.9,,
2020-03-29,16.1,1.3,8.7,,4.6,30.6,,
2020-03-30,16.9,4.3,10.2,,4.1,38.4,,
2020-03-31,18.6,4.7,11.9,,4.4,34.5,,
2020-04-01,17.4,6,11.3,,7.3,35.6,,
2020-04-02,15.5,3.4,9.3,,5.5,41.4,,
2020-04-03,16.3,5.3,10,,5.7,53.8,,
2020-04-04,13.3,5,8.9,,6.3,36.4,,
2020-04-05,13.7,1.9,7.2,,5.4,29.5,,
2020-04-06,16.1,2.9,9.3,,5.9,38.3,,
2020-04-07,16.8,6,10.6,,5.1,56.6,,
2020-04-08,14.2,5.2,9.4,,5.9,25.5,,
2020-04-09,14.7,4.3,8.9,,5.7,44.6,,
2020-04-10,16.8,5.8,10.7,,4.1,52.6,,
2020-04-11,16,6.2,9.9,,4.9,63.8,,
2020-04-12,15.6,4.4,9.9,,7.4,58.6,,
2020-04-13,20.4,4.3,12.4,,5.5,39.4,,
2020-04-14,19.6,7.6,13,,5.3,46.8,,
2020-04-15,20.2,7.2,13.2,,5.6,39.8,,
2020-04-16,23.8,8.9,16,,4.5,39.9,,
2020-04-17,15.4,10.4,12.5,6.5,4.8,77.8,,
2020-04-18,19.6,8.5,13.5,,4.8,67.9,,
2020-04-19,15.5,9.5,12.3,10.3,5.2,75.8,,
2020-04-20,13.1,7.6,10,0.1,6.8,73,,
2020-04-21,10.4,4.8,7.4,,8.9,49,,
2020-04-22,8.3,4.1,6,0,6.4,46.8,,
2020-04-23,12.8,2.9,7.9,,7.9,47.8,,
2020-04-24,14.3,4.1,9.9,,8.2,55.6,,
2020-04-25,17.1,9.9,13.1,,7.8,54.4,,
2020-04-26,19,6.8,12.3,,6.5,43.1,,
2020-04-27,18.3,8.7,12.9,,5.5,49.8,,
2020-04-28,19.9,7.8,13.9,,5.5,50,,
2020-04-29,21,9.3,14.9,,5.2,48.6,,
2020-04-30,23.4,9.3,17.1,,5.9,57.1,,
2020-05-01,26.2,16.4,20.2,,5.5,73.6,,
2020-05-02,23.9,18,20.3,0,4.6,79.6,,
2020-05-03,27.4,17,21.8,0,3.9,68.8,,
2020-05-04,25.3,14.8,20.2,,4.6,63.9,,
2020-05-05,19.3,13.1,16,,5.3,67.9,,
2020-05-06,27.6,11.1,19.4,,4.4,50,,
2020-05-07,26.5,14.9,20.7,,4.3,32.5,,
2020-05-08,27.3,14.3,19.9,2.3,4.5,32.8,,
2020-05-09,16.8,12.7,14.2,24.4,5.9,94.4,,
2020-05-10,16.6,12.8,14.4,1.3,4.1,88.6,,
2020-05-11,22,12.4,16.5,3.4,5.6,61,,
2020-05-12,18.9,10.5,14.3,0.7,5.4,69.4,,
2020-05-13,21.8,10.2,16.1,,6.5,47.3,,
2020-05-14,25.4,12.4,19.3,,4.3,35.4,,
2020-05-15,20.2,14.1,16.1,12,5.3,81.4,,
2020-05-16,20.3,15,16.7,2.5,3.3,90.3,,
2020-05-17,24.9,14.6,19.1,0,4.3,80.1,,
2020-05-18,26.8,13.2,19.1,29.8,7.2,79.4,,
2020-05-19,17.1,10.1,13,19,7.2,73.6,,
2020-05-20,20.1,9.2,14.4,0,3,60.4,,
2020-05-21,22.9,10.9,17.4,,3.3,56.1,,
2020-05-22,22.7,14.8,18.5,0,4.9,68.5,,
2020-05-23,25,16.6,20.1,0,4.7,66.1,,
2020-05-24,20.2,14.3,17.1,14.5,6.5,84.8,,
2020-05-25,21.3,13.7,16.6,,3.8,81,,
2020-05-26,22.9,12.7,16.2,1.5,5.4,81.9,,
2020-05-27,23.9,11.8,17.4,,5.9,68.5,,
2020-05-28,23.4,14.2,18.7,0,3.9,62.8,,
2020-05-29,27.6,14.6,20.7,,4.1,65.6,,
2020-05-30,30,16.5,22.6,,4.3,57.3,,
2020-05-31,28,17.6,21.2,1,5.7,63,,
2020-06-01,24.5,16.6,19.7,0.4,6.2,64.3,,
2020-06-02,21.8,14.8,17.9,2,4.1,71,,
2020-06-03,28.4,17.6,22,,5.6,73.3,,
2020-06-04,26.5,19.7,21.9,0.2,4.7,81.1,,
2020-06-05,28.7,18.4,23,,3.8,69.4,,
2020-06-06,30.9,19.2,24.6,,4.4,63.6,,
2020-06-07,29.2,19.2,22.7,,5.1,69.4,,
2020-06-08,32,19.8,25,,5.5,63.6,,
2020-06-09,32.8,20.3,26.7,,4.3,51.6,,
2020-06-10,32.1,22.5,25.8,6.2,6.2,63.8,,
2020-06-11,31.6,21.7,26.1,0,4.6,68.3,,
2020-06-12,27.6,21.6,24.7,,3,68.6,,
2020-06-13,33.5,20.6,26.9,0,5,52.8,,
2020-06-14,28.8,20.1,24,1.1,5.9,70.6,,
2020-06-15,28.6,18.2,23,,6.3,62.3,,
2020-06-16,30.7,20,24.4,,4.4,63,,
2020-06-17,30.3,20.2,24.3,,4.3,58.6,,
2020-06-18,27.3,20.3,23.4,,3.4,61.4,,
2020-06-19,30,21.1,24.7,0.1,4.2,61.4,,
2020-06-20,29.7,20.7,24.9,,4.6,62.6,,
2020-06-21,32.7,19.5,26.1,,4.5,59.5,,
2020-06-22,35.4,21.7,28.6,,4.1,50.5,,
2020-06-23,31,23.2,27.3,0,3.7,53.5,,
2020-06-24,26.3,19.9,22.3,37.6,5.7,83.5,,
2020-06-25,23.4,20.1,21.6,13.3,4.3,91,,
2020-06-26,25.7,19.2,21.8,2.1,5.3,82.1,,
2020-06-27,29.6,20.4,24.1,0,5.4,70.4,,
2020-06-28,30.1,21.5,25.2,,4.7,70.5,,
2020-06-29,26.5,20.6,23.8,11.9,5.9,77,,
2020-06-30,23.1,18.4,20.1,64.7,7.6,83,,
2020-07-01,24.3,18.1,21.1,0,3.7,79.3,,
2020-07-02,29.8,20.4,24.2,,3.4,74.5,,
2020-07-03,30.6,21.6,25.5,0.1,6.1,63.5,,
2020-07-04,29.5,20.4,24.2,1.6,4.4,63.9,,
2020-07-05,27.6,19.9,23.8,,3.5,68.6,,
2020-07-06,30.9,21.8,25.6,,4.7,66.6,,
2020-07-07,28.1,22.1,24.1,0,4,75.5,,
2020-07-08,30.4,21.3,25.5,,3.7,71.9,,
2020-07-09,32.9,21.8,27.5,,3.6,64.6,,
2020-07-10,27.7,22.7,24.5,2.2,6.6,75,,
2020-07-11,30.2,22.2,25.8,,5,62.6,,
2020-07-12,26,21.7,23.5,2.9,3.6,71.9,,
2020-07-13,21.7,17.7,18.7,47.6,5.9,94.8,,
2020-07-14,24.3,17.2,20.3,11.5,4.4,79.4,,
2020-07-15,28.7,18.9,23.4,,3.4,63.1,,
2020-07-16,29.7,20.4,25,,3.5,70.9,,
2020-07-17,31.6,21.5,26,0,5.6,72,,
2020-07-18,31,22.8,26.1,,4,71.6,,
2020-07-19,26.6,20.6,24,29.1,4.3,81.6,,
2020-07-20,26.6,22.4,23.8,3.6,7,86.3,,
